TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
22.30 	Susišaudymas (Shootout). JAV. 1971. Vesternas. Rež. Henry Hathaway. Vaidina Gregory Peck, Robert F.Lyons, Susan Tyrrell, Jeff Corey. (T)  Filmas
24.20 	Pabaiga. 	

2001-12-16 - Sekmadienis
08.00 	Programa 	
08.05 	Ryto tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams 	
08.05 	Betmenas (Batman). JAV. Nuotykių filmas. III dalis. 5 s.  Vaikams
08.35 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. III dalis. 3 s.  Vaikams
09.05 	Digimonai (Digimon: Digital Monsters). JAV, Japonija, Prancūzija. 1999. Animacinis filmas. 45 s.  Vaikams
09.35 	Gamtos karalija. Laidos vedėjas prof. Ričardas Kazlauskas. 	Laida
09.40 	Simpsonai (The Simpsons). JAV. Animacinis filmas. X dalis. 11 s.  Vaikams   	
10.05 	Maggi pasaulis.  Žaidimas 	
10.15 	Lobių sala (Treasure Island). JAV. 1950. Nuotykių filmas. Rež. Byron Haskin. Vaidina Bobby Driscoll, Robert Newton, Basil Sydney. (k.)  Filmas
11.50 	Ernestas išgelbsti Kalėdas (Ernest Saves Christmas). JAV. 1989. Nuotykių filmas. Rež. John Cherry. Vaidina Jim Varney, Douglas Seale, Oliver Clark.  Filmas
13.25 	Roberto receptai. Kulinarinė laida. Laidos vedėjas Robertas Ščesnavičius.	Laida
13.55 	Eurolygos apžvalga.  Sportas
14.25 	Šapro šou. Humoro laida. (k.)
14.50 	Karalius Hilas (King of the Hill). Animacinė komedija. II dalis. 13 s.  Vaikams
15.20 	Modelių agentūra (Models Inc.). JAV. 1994. Drama. 10 s.  Serialas	
16.10 	Kobra 11 (Alarm Fur Cobra 11 - Die Autobahnpolizei). 1999. Vokietija. Nuotykių serialas. IV dalis. 13 s.  Serialas
17.05 	Štokingeris (Stockinger). Austrija. 1995. Detektyvinė komedija. Rež. Jorg Grunler, Dagmar Damek. 13 s.  Serialas
17.50 	V.I.P. (VIP). JAV. 1998. Nuotykių serialas. 8 s.  Serialas
18.45 	TV3 žinios.  Laida	
19.00 	TV3 sportas.  Sportas
19.05 	Orai. 	
19.05 	Teleloto. Laidos vedėjai Gabrielė Bartkutė ir Marijus Žiedas.  Loterija	
20.30 	Mirk už savo svajonę. Omnitel TV žaidimas.
20.35 	Savaitgalio karštis. Riba (The Edge). JAV. 1997. Veiksmo filmas. Rež. Lee Tamahori. Vaidina Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau. (N-14)
22.55 	Gillette pasaulio sporto apžvalga. 	Sportas
23.20 	Iššūkis pergalei. (Victory Challenge). Buriavimo varžybos.  Sportas
23.45 	X failai (X-Files). JAV. 1998. Fantastinė drama. VI dalis. 20 s. (T).	Serialas  	
24.35 	Pabaiga. 	

2001-12-17 - Pirmadienis
06.55 	Programa. 	
07.00 	Visi šunys keliauja į dangų (All Dogs Go To Heaven). JAV. 1997. Animacinis filmas. 1 s. (k.)  Vaikams
07.25 	Procesas. X sektorius. Publicistinė laida. (k.)
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 37 s. (k.)  Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 64 s. (k.)  Serialas
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 59 s. (k.)  Serialas
10.15 	Trečias luitas už Saulės (Third Rock from the Sun). JAV. 1999. Fantastinė komedija. V dalis. 4 s. (k.)  Serialas
