-----
Sausis
-----
9.00 Širdžių ėdikės. JAV, kriminalinė komedija, 2001.
11.10 Asmeniniai Pipos Li gyvenimai. JAV, drama, 2009.
13.00 Makheilio jūreiviai. JAV, komedija, 1997.
15.00 Aferistas. D.Britanija, kriminalinė drama, 1999.
17.00 Netikėta meilė. Kanada/D.Britanija, drama, 2009.
19.00 Jaunos ir karštos. JAV, komedija, 2000.
21.00 Atpildas. D.Britanija, drama, 2003.
23.00 Naktinė audra. Japonija, animacinis/nuotykių, 2005.
1.00 Gražuoliukas. Vokietija, romantinė komedija, 2007.

2011-05-11 - Trečiadienis
3.00 Po lietaus. P.Afrika, drama, 1999.
5.10 Jaunos ir karštos. JAV, komedija, 2000.
7.00 Makheilio jūreiviai.
(McHale’s Navy). JAV, komedija, 1997.
9.00 Aferistas. D.Britanija, kriminalinė drama, 1999.
11.00 Netikėta meilė. Kanada/D.Britanija, drama, 2009.
13.00 Malonėkite atsukti. JAV, komedija, 2008.
15.00 Saulės nudeginti. JAV, drama, 1999.
17.10 Mirtis jai tinka. JAV. 1992. Komedija.
19.00 Žudantis grožis. JAV, komedija, 1999.
21.00 Po lietaus. P.Afrika, drama, 1999.
23.00 Gražuoliukas. Vokietija, romantinė komedija, 2007.
1.00 Žiedo istorija. Didžioji Britanija, drama, 2007.

2011-05-12 - Ketvirtadienis
3.00 Velniška meilė – Frensio Beikono portretas. D.Britanija, biografinė drama, 1998.
5.10 Žudantis grožis. JAV, komedija, 1999.
7.00 Malonėkite atsukti. JAV, komedija, 2008.
9.00 Saulės nudeginti. JAV, drama, 1999.
11.00 Mirtis jai tinka. JAV. 1992. Komedija.
13.00 Ką gali pasakyti vien pasižiūrėjęs į ją. JAV, drama, 2000.
15.00 Amerikietiškas nusikaltimas. JAV, trileris, 2004.
17.00 Hercogienė. D.Britanija/Italija, drama, 2008.
19.00 Gera moteris. Ispanija/Italija/D.Britanija, romantinė komedija, 2004 m.
21.00 Velniška meilė – Frensio Beikono portretas. D.Britanija, biografinė drama, 1998.
23.00 Žiedo istorija. Didžioji Britanija, drama, 2007.
1.20 Klastotojai. Austrija/Vokietija, istorinė drama, 2007.

2011-05-13 - Penktadienis
3.00 Alaus lyga. JAV, komedija, 2006.
5.00 Gera moteris. Ispanija/Italija/D.Britanija, romantinė komedija, 2004 m.
7.00 Ką gali pasakyti vien pasižiūrėjęs į ją. JAV, drama, 2000.
9.00 Amerikietiškas nusikaltimas. JAV, trileris, 2004.
11.00 Hercogienė. D.Britanija/Italija, drama, 2008.
13.00 Nepaklotos lovos. D.Britanija, komedija, 2009.
15.00 Dėdė Bakas. JAV. 1989. Komedija.
17.00 Žiaurus gailestingumas. JAV, drama, 2007.
19.00 Tikrovė kandžiojasi. JAV, romantinė drama, 1994.
21.00 Alaus lyga. JAV, komedija, 2006.
23.00 Klastotojai. Austrija/Vokietija, istorinė drama, 2007.
1.00 Gyvenk laisvai arba mirk. JAV, kriminalinė komedija, 2006.

2011-05-14 - Šeštadienis
3.00 Didysis Lebovskis. JAV/D.Britanija, kriminalinė komedija, 1998.
5.10 Tikrovė kandžiojasi. JAV, romantinė drama, 1994.
7.00 Nepaklotos lovos. D.Britanija, komedija, 2009.
9.00 Dėdė Bakas. JAV. 1989. Komedija.
11.00 Žiaurus gailestingumas. JAV, drama, 2007.
13.00 Tolyn nuo jos. Kanada/D.Britanija, drama, 2006.
15.00 Kelionė Anapilin. JAV, komedija, 2005.
17.00 Stefani Dali. JAV, drama, 2006.
19.00 Mirtinas ginklas 2. JAV, veiksmo filmas, 1989.
21.10 Didysis Lebovskis. JAV/D.Britanija, kriminalinė komedija, 1998.
23.20 Gyvenk laisvai arba mirk. JAV, kriminalinė komedija, 2006.
1.00 Darfūras. JAV, drama, 2009.

2011-05-15 - Sekmadienis
3.00 Išpirka. Didžioji Britanija/Kanada, trileris, 2007.
5.00 Mirtinas ginklas 2. JAV, veiksmo filmas, 1989.
7.10 Tolyn nuo jos. Kanada/D.Britanija, drama, 2006.
9.10 Kelionė Anapilin. JAV, komedija, 2005.
11.00 Stefani Dali. JAV, drama, 2006.
13.00 Kartą Versalyje. Prancūzija, komedija, 2009.
15.00 Štai ir visas reikalas. JAV, romantinė komedija, 2001.
17.00 Moliuskų rinkėjai. JAV, drama, 2006.
19.00 Bernvakaris Las Vegase. JAV, komedija, 2006.
21.10 Išpirka. Didžioji Britanija/Kanada, trileris, 2007.
23.00 Darfūras. JAV, drama, 2009.
1.00 Gelbėkit mus nuo Evos. JAV, komedija/drama, 2003.
2.59 Programos pabaiga.

2011-05-16 - Pirmadienis
03.00 Dvi dienos Paryžiuje. Prancūzija/Vokietija, komiška drama, 2007.
05.00 Bernvakaris Las Vegase. JAV, komedija, 2006.
07.00 Kartą Versalyje. Prancūzija, komedija, 2009.
09.10 Štai ir visas reikalas. JAV, romantinė komedija, 2001.
11.00 Moliuskų rinkėjai. JAV, drama, 2006.
13.00 Senis, kuris skaitė meilės istorijas.
Prancūzija/Ispanija/Australija, nuotykių drama, 2001.
15.00 Blondinė armijoje. JAV, komedija, 2008.
17.00 Sutrikęs gangsteris. JAV/Australija, kriminalinė komedija, 1999.
19.00 Elė Parker. JAV, komedija, 2005.
21.00 Dvi dienos Paryžiuje. Prancūzija/Vokietija, komiška drama, 2007.
23.00 Gelbėkit mus nuo Evos. JAV, komiška drama, 2003.
01.00 Tiesiog kartu. Prancūzija, drama, 2007.

2011-05-17 - Antradienis
03.00 Viešbutis, vertas milijono. JAV, komiška drama, 2000.
05.00 Elė Parker. JAV, komedija, 2005.
07.00 Senis, kuris skaitė meilės istorijas.
Prancūzija/Ispanija/Australija, nuotykių drama, 2001.
09.10 Blondinė armijoje. JAV, komedija, 2008.
11.00 Sutrikęs gangsteris. JAV/Australija, kriminalinė komedija, 1999.
13.00 Žalias drakonas. JAV, drama, 2001.
15.00 Amerikos prezidentas. „Oskarui” nominuota komiška drama, JAV, 1995.
17.00 Auksinis jaunimas. D.Britanija, komiška drama, 2003.
19.00 Nekišk nosies, kur nereikia. JAV, drama, 2005.
21.00 Viešbutis, vertas milijono. JAV, komiška drama, 2000.
23.20 Tiesiog kartu. Prancūzija, drama, 2007.
01.10 Kiekvieną mielą dieną. JAV, komiška drama, 2010.

2011-05-18 - Trečiadienis
03.00 Tiesiai mano širdin… JAV, drama, 1998.
05.00 Nekišk nosies, kur nereikia. JAV, drama, 2005.
07.00 Žalias drakonas. JAV, drama, 2001.
09.00 Amerikos prezidentas. „Oskarui” nominuota komiška drama, JAV, 1995.
11.00 Auksinis jaunimas. D.Britanija, komiška drama, 2003.
13.00 Emos laimė. Vokietija, romantinė drama, 2006.
