-----
Sausis
-----
2011-03-13 - Sekmadienis
06.00 Tikroji padėtis. JAV/D.Britanija, kriminalinis trileris, 2009.
08.10 Atostogos. JAV, romantinė komedija, 2006.
10.20 Viskas įskaičiuota. JAV, komedija, 2009.
12.20 Sutrikęs gangsteris. JAV/Australija, kriminalinė komedija, 1999.
14.00 Sutrikusi mafija. JAV, kriminalinė komedija, 2002.
16.00 Yvanas Visagalis. JAV, komedija, 2007.
18.00 Iksmenai: pradžia. Ernis. JAV, fantastinis trileris, 2009.
20.00 Vampyro padėjėjas. JAV, fantastinis trileris, 2009.
22.00 Negarbingi šunsnukiai. JAV/Vokietija, Oskaru apdovanotas karo trileris, 2009.
00.40 Užgniaužiančios kvapą. D.Britanija, erotinis filmas, 2009.
02.00 Aksomas. Čekija, erotika, 2007.
04.00 Bruno. JAV, komedija, 2009.
05.59 Programos pabaiga.

2011-03-14 - Pirmadienis

2011-03-15 - Antradienis

2011-03-16 - Trečiadienis

2011-03-17 - Ketvirtadienis

2011-03-18 - Penktadienis

2011-03-19 - Šeštadienis

2011-03-20 - Sekmadienis

2011-03-21 - Pirmadienis

2011-03-22 - Antradienis

2011-03-23 - Trečiadienis

2011-03-24 - Ketvirtadienis

2011-03-25 - Penktadienis

2011-03-26 - Šeštadienis

2011-03-27 - Sekmadienis

2011-03-28 - Pirmadienis

2011-03-29 - Antradienis

2011-03-30 - Trečiadienis

2011-03-31 - Ketvirtadienis

-----
Balandis
-----
2011-04-01 - Penktadienis

2011-04-02 - Šeštadienis

2011-04-03 - Sekmadienis

2011-04-04 - Pirmadienis

2011-04-05 - Antradienis

2011-04-06 - Trečiadienis

2011-04-07 - Ketvirtadienis

2011-04-08 - Penktadienis

2011-04-09 - Šeštadienis

2011-04-10 - Sekmadienis

2011-04-11 - Pirmadienis

2011-04-12 - Antradienis

2011-04-13 - Trečiadienis

2011-04-14 - Ketvirtadienis

2011-04-15 - Penktadienis

2011-04-16 - Šeštadienis

2011-04-17 - Sekmadienis

2011-04-18 - Pirmadienis

2011-04-19 - Antradienis

2011-04-20 - Trečiadienis

2011-04-21 - Ketvirtadienis

2011-04-22 - Penktadienis

2011-04-23 - Šeštadienis

2011-04-24 - Sekmadienis

