Balticum Platinum
-----
Sausis
-----
2025-01-01 - Trečiadienis
11:00 Romantinis draminis serialas „Chameleonas“ (10) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (9-10) (Ukraina, 2019 m.) (N-7)
13:00 Komedija „Pašėlusios vestuvės 2“ (Ukraina, 2019 m.) (N-7)
15:00 Romantinis draminis serialas „Chameleonas“ (9) (Ukraina, 2019 m.) (N-7)
16:00 Romantinis draminis serialas „Chameleonas“ (10) (Ukraina, 2019 m.) (N-7)
17:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (9-10) (Ukraina, 2019 m.) (N-7)
18:00 Karinis draminis serialas „Meilės šauksmas“ (1) (Ukraina, 2024 m.) (N-7)
19:00 Karinis draminis serialas „Meilės šauksmas“ (2) (Ukraina, 2024 m.) (N-7)
20:00 Draminis serialas „Naujokė“ (19) (Ukraina, 2019 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Ėjimas žirgu“ (5) (Ukraina, 2022 m.) (N-14)
22:00 Detektyvinis serialas „Ėjimas žirgu“ (6) (Ukraina, 2022 m.) (N-14)
23:00 Draminis serialas „Naujokė“ (19) (Ukraina, 2019 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (9) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (10) (Ukraina, 2019 m.) (N-7)

2025-01-14 - Antradienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (11-12) (Ukraina, 2019 m.) (N-7)
08:00 Karinis draminis serialas „Meilės šauksmas“ (3) (Ukraina, 2024 m.) (N-7)
09:00 Karinis draminis serialas „Meilės šauksmas“ (4) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (11) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (12) (Ukraina, 2019 m.) (N-7)
12:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (11-12) (Ukraina, 2019 m.) (N-7)
13:00 Komedija „Smagioji iškyla“ (Ukraina, 2022 m.) (N-7)
15:00 Romantinis draminis serialas „Chameleonas“ (11) (Ukraina, 2019 m.) (N-7)
16:00 Romantinis draminis serialas „Chameleonas“ (12) (Ukraina, 2019 m.) (N-7)
17:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (11-12) (Ukraina, 2019 m.) (N-7)
18:00 Karinis draminis serialas „Meilės šauksmas“ (3) (Ukraina, 2024 m.) (N-7)
19:00 Karinis draminis serialas „Meilės šauksmas“ (4) (Ukraina, 2024 m.) (N-7)
20:00 Draminis serialas „Naujokė“ (20) (Ukraina, 2019 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Ėjimas žirgu“ (7) (Ukraina, 2022 m.) (N-14)
22:00 Detektyvinis serialas „Ėjimas žirgu“ (8) (Ukraina, 2022 m.) (N-14)
23:00 Draminis serialas „Naujokė“ (20) (Ukraina, 2019 m.) (N-7)
00:00 Romantinis draminis serialas „Chameleonas“ (11) (Ukraina, 2019 m.) (N-7)
01:00 Romantinis draminis serialas „Chameleonas“ (12) (Ukraina, 2019 m.) (N-7)

2025-01-15 - Trečiadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (13-14) (Ukraina, 2019 m.) (N-7)
08:00 Komedija „Pašėlusios vestuvės 2“ (Ukraina, 2019 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (13) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (14) (Ukraina, 2019 m.) (N-7)
