Balticum Platinum
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
09:00 Detektyvinis serialas „Tėvas“ (13) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Tėvas“ (14) (Ukraina, 2024 m.) (N-7)
11:00 Draminis serialas „Okupuotieji“ (1) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Okupuotieji“ (2) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
14:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (6) (Ukraina, 2024 m.) (N-7)
15:00 Humoro serialas „Didieji Vuikai“ (2/5-6) (Ukraina, 2020 m.) (N-7)
16:00 Humoro serialas „Didieji Vuikai“ (2/7-8) (Ukraina, 2020 m.) (N-7)
17:00 Detektyvinis serialas „Tėvas“ (13) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Tėvas“ (14) (Ukraina, 2024 m.) (N-7)
19:00 Draminis serialas „Okupuotieji“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Draminis serialas „Okupuotieji“ (2) (Ukraina, 2024 m.) (N-7)
21:00 Karinis draminis serialas „Kelias“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (13) (Ukraina, 2024 m.) (N-7)
23:00 Detektyvinis serialas „Tėvas“ (14) (Ukraina, 2024 m.) (N-7)

2026-01-15 - Ketvirtadienis
00:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (5) (Ukraina, 2024 m.) (N-7)
01:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (6) (Ukraina, 2024 m.) (N-7)
07:00 Detektyvinis serialas „Tėvas“ (15) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (16) (Ukraina, 2024 m.) (N-7)
