Nickelodeon
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
01:50 Kasagrandes: Chameleono karma / Komandinės pastangos (S1E15) (The Casagrandes). Animacinis, fantastinis, visai šeimai. JAV, 2020
02:15 Kasagrandes: Spėk, kas perka produktus vakarienei? / Naujas kambariokas (S1E16) (The Casagrandes). Animacinis, fantastinis, visai šeimai. JAV, 2020
02:40 Patriko žvaigždžių šou: Situacijų komedijų žvaigždės / Šou turi tęstis... žiovulys (S4E1) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2025
03:05 Kempiniukas Plačiakelnis: Pristatymas į monstrų salą / Važiuok, Patrikai (S13E285) (SpongeBob SquarePants). Animacinis, visai šeimai,
03:30 Kempiniukas Plačiakelnis: Kempiniuko kelias į Kalėdas (S13E272) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2021
03:50 Kempiniukas Plačiakelnis: Mano draugas patis / Linksmatikėtina (S13E289) (SpongeBob SquarePants). Animacinis, visai šeimai,
04:05 Griausmingieji: Po priedanga: Šventiškiausias metų laikas (S2E11) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
04:25 Pavojingos pajėgos: Bilskio milijardai (S2E13) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2022
04:50 Pavojingasis Henris: Žinutės Video ir Melai (S2E12) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2016
05:15 Vėžliukai nindzės: mutantų siautėjimas: Rafas suka galvą (S1E3) (Tales of the Teenage Mutant Ninja Turtles).
05:35 Wylde Pak: Sek pabarstukus / Kanjono slėnis prieš Dirką (S1E12). Animacinis, visai šeimai, komedija. JAV, 2025
06:00 Kempiniukas Plačiakelnis: Kyla bangos / Kapitonas Kvazaras: Kita versija (S15E319) (SpongeBob SquarePants).
06:25 Kempiniukas Plačiakelnis: Kempiniuko ir Sendės kantri Kalėdos (S14E306) (SpongeBob SquarePants).
06:50 Kempiniukas Plačiakelnis: Keverzolaikio prakeiksmas / Gorilos kostiumo diena (S16E321) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2025
07:10 Kempiniukas Plačiakelnis: Pabėgimas (S9E184) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2013
07:25 Patriko žvaigždžių šou: Perla nori būti žvaigždė / Super auklės (S1E12) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2022
07:45 Kasagrandes: Pusryčiai / Dinamiškasis duetas (S2E8) (The Casagrandes). Animacinis, fantastinis, visai šeimai. JAV, 2021
08:10 Kasagrandes: Namų patobulinimas / Nedalomas dėmesys (S2E9) (The Casagrandes). Animacinis, fantastinis, visai šeimai. JAV, 2021
08:30 Triukšmingi namai: Išleistuvių komedija / Šlovės vagilė (S9E5) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2025
08:55 Triukšmingi namai: Nelemtas ženklelis / Žvaigždė (S9E6) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2025
09:20 Wylde Pak: Tik nedidelė vamzdžio problema / Čako stovykla (S2E5). Animacinis, visai šeimai, komedija. JAV, 2025
09:45 Patriko žvaigždžių šou: Patrigelio efektas / Atminimo vertas kosmoso nuotykis (S1E18) (The Patrick Star Show). Animacinis, fantastinis,
10:05 Kempiniukas Plačiakelnis: Sendės riešutų košmaras / Naujienų lenta (S9E201) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2016
10:30 Kempiniukas Plačiakelnis: Kempiniuko kelias į Kalėdas (S13E272) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2021
10:55 Triukšmingi namai: Kova prieš Kalėdas (S7E17) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2022
11:15 Triukšmingi namai: Linksmų meilių Kalėdų / Sniegas be rūpesčių (S9E2) (The Loud House).
11:40 Wylde Pak: Galios mėsos / Pas Negyvėlį Edą (S1E5). Animacinis, visai šeimai, komedija. JAV, 2025
12:05 Triukšmingi namai: Rūmų griovimas / Sunki kalnų perėja (S7E6) (The Loud House). Animacinis, visai šeimai,
12:30 Pavojingos pajėgos: Radioaktyvi katė (S1E19) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2021
12:50 Pavojingos pajėgos: Mailsas mato vizijas (S1E20) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2021
13:15 Griausmingieji: Po priedanga: Thundercover (S1E1) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
13:40 Pavojingasis Henris: Pavojingos Kalėdos (S2E9) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2015
14:00 Pavojingasis Henris: Pražūties Balionai (S3E18) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2017
14:25 Patriko žvaigždžių šou: Burbulio ešerio apžvalga / Patriko kalėjimo draugai (S1E26) (The Patrick Star Show). Animacinis, fantastinis,
14:50 Kempiniukas Plačiakelnis: Švyturio Lujis / Žagsulio epidemija (S12E261) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2020
15:10 Kempiniukas Plačiakelnis: Miško trobelė / Priklausomybė (S12E262) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2019
15:35 Kempiniukas Plačiakelnis: Žaliūkai keliauja į mėnulį (S11E237) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
16:00 Triukšmingi namai: Проект "Дом Громов" / Палаточный парламент (S1E5) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2016
16:25 Wylde Pak: Sek pabarstukus / Kanjono slėnis prieš Dirką (S1E12). Animacinis, visai šeimai, komedija. JAV, 2025
16:45 Triukšmingi namai: Rinkis arba plauk / Pakeisti kūdikį (S1E8) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2016
17:10 Triukšmingi namai: Tylos garsai / Įsibrovėlė (S1E6) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2016
17:35 Triukšmingi namai: Kengūrynės / Čiužinio klajonės (S9E7) (The Loud House).
17:55 Kempiniukas Plačiakelnis: Patriko žaidimas / Bikini Įdūbos požemiai (S9E194) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2015
18:20 Pavojingasis Henris: Kosmoso Akmuo (S1E8) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2014
18:45 Griausmingieji: Po priedanga: Gyvenimo Maksas (S2E1) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
19:10 Pavojingos pajėgos: Mažasis Dinamitas (S1E16) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2021
19:30 Triukšmingi namai: Pramogų sąrašas / Nevykęs vakarėlis (S2E9) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2017
19:55 Triukšmingi namai: Mišrainė / Kiaušinių karai (S2E10) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2017
20:20 Wylde Pak: Burbulinis noras / Būk sava pupa (S1E4). Animacinis, visai šeimai, komedija. JAV, 2025
20:40 Triukšmingi namai: Žaidimas / Ji tikra vampyrė (S5E16) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2021
21:05 Triukšmingi namai: Režisieriaus rutina / Penktadienio nakties kovos (S5E15) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2021
21:30 Kempiniukas Plačiakelnis: Storulio Ešerio piktadarystė / Kempiniuko nekentėjų klubas (S13E274) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2020
21:50 Kempiniukas Plačiakelnis: Maisto furgonas / Mergaičių diena (S13E275) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2020
22:15 Kempiniukas Plačiakelnis: Sakyk "Ach!" / Paštininkas Patrikas (S13E276) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2020
22:40 Patriko žvaigždžių šou: Žvaigždžiarobika / Kas dabar kvailiukas? (S3E3) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2024
23:00 Vėžliukai nindzės: mutantų siautėjimas: Mutantų turnyras (S2E2) (Tales of the Teenage Mutant Ninja Turtles). Animacinis, visai šeimai, komedija. JAV, 2025
23:25 Vėžliukai nindzės: mutantų siautėjimas: Raph kovoja su visais (S2E3) (Tales of the Teenage Mutant Ninja Turtles). Animacinis, visai šeimai, komedija. JAV, 2025
23:50 Kempiniukas Plačiakelnis: Gyvybės draudimas (S10E210) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2017

2026-01-03 - Šeštadienis
00:00 Kempiniukas Plačiakelnis: Pinokis / Šefas Kempinė (S11E234) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
00:25 Kempiniukas Plačiakelnis: Senas Planktono maistas / Audros debesėlis (S12E246) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2019
00:45 Kempiniukas Plačiakelnis: Pinokis / Šefas Kempinė (S11E234) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
01:10 Geriausias ir Geresnė: Kaktuso priežiūra / Antros duobutės košmaras (S1E1) (Best & Bester). Animacinis, visai šeimai, komedija. Anglija, Suomija, Kanada, 2022
01:35 Geriausias ir Geresnė: Viskas dėl kupros / Dainuok už maistą (S1E2) (Best & Bester). Animacinis, visai šeimai, komedija. Anglija, Suomija, Kanada, 2022
01:55 Geriausias ir Geresnė: Didysis žaidimas / Portretas (S1E3) (Best & Bester). Animacinis, visai šeimai, komedija. Anglija, Suomija, Kanada, 2022
02:20 Patriko žvaigždžių šou: Pačiu laiku Kalėdoms / Klopnodų paveldo šventė (S1E10) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2021
02:45 Patriko žvaigždžių šou: Kenkėjai / Amnezija (S4E4) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2025
03:05 Kempiniukas Plačiakelnis: Geltonuolis (S14E304) (SpongeBob SquarePants).
03:30 Kempiniukas Plačiakelnis: Kvaiša Dikas (S13E288) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2020
03:45 Griausmingieji: Po priedanga: Vidurvasario nakties afera (S2E5) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
04:10 Pavojingos pajėgos: Džekas Kirpikas (S2E14) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2021
04:35 Pavojingasis Henris: Pavojingos Kalėdos (S2E9) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2015
04:55 Vėžliukai nindzės: mutantų siautėjimas: Donis sukaupia drąsą (S1E4) (Tales of the Teenage Mutant Ninja Turtles).
05:20 Wylde Pak: Kelionė pas ūdras (S1E13). Animacinis, visai šeimai, komedija. JAV, 2025
05:45 Wylde Pak: Dubu (S2E8). Animacinis, visai šeimai,
06:00 Kempiniukas Plačiakelnis: Kempiniuko kelias į Kalėdas (S13E272) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2021
06:25 Kempiniukas Plačiakelnis: Patrikas-žmogus! / Naujas Gario žaislas (S9E180) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2012
06:45 Kempiniukas Plačiakelnis: Čoiuožk ir gamink (S11E236) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
07:00 Patriko žvaigždžių šou: Pačiu laiku Kalėdoms / Klopnodų paveldo šventė (S1E10) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2021
07:20 Patriko žvaigždžių šou: Apsipirkimas / Vienišas robotas (S3E2) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2024
07:45 Triukšmingi namai: Mada pavojuje / Siaubo viešbutis (S6E25) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2021
08:10 Triukšmingi namai: Šventinės suktybės / Flipo Kalėdų giesmė (S5E8) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2020
08:35 Triukšmingi namai: Bundanti istorija / Nekalti pokštai (S7E1) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2022
08:55 Triukšmingi namai: Vaikiški žaidimai / Įpročių jėga (S7E2) (The Loud House). Animacinis, visai šeimai,
09:20 Wylde Pak: Pati geriausia vasara? (S1E1). Animacinis, visai šeimai, komedija. JAV, 2025
09:40 Wylde Pak: Liūdnas, vienišas, įstrigęs / Iššvaistyta tobula vasaros diena (S1E2). Animacinis, visai šeimai, komedija. JAV, 2025
10:05 Kempiniukas Plačiakelnis: Vienaląstė savigyna / Raumenys Pagalvėlei (S14E294) (SpongeBob SquarePants). Animacinis, visai šeimai,
10:30 Kempiniukas Plačiakelnis: Mylim Hūpsą / Kempinčiuvis (S14E295) (SpongeBob SquarePants). Animacinis, visai šeimai,
10:55 Patriko žvaigždžių šou: Pavėlavus pusryčiams / Netikę darbai (S1E1) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2021
11:15 Patriko žvaigždžių šou: Laiptų karai / Madingi priešai (S1E2) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2021
11:40 Triukšmingi namai: Linksmų meilių Kalėdų / Sniegas be rūpesčių (S9E2) (The Loud House).
12:05 Triukšmingi namai: Seserų audra / Patekti į lentyną (S1E2) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2015
12:25 Triukšmingi namai: Blondinė už vairo / Be rizikos nėra šlovės (S1E3) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2016
12:50 Triukšmingi namai: Mielas kampelis / Valgyklos pokštai (S1E4) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2016
13:15 Griausmingieji: Po priedanga: Šventiškiausias metų laikas (S2E11) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
13:35 Griausmingieji: Po priedanga: Banga ir prietarai (S1E11) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
14:00 Pavojingoji jėga: Pavojingoji jėga pabunda (S1E1) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2020
14:25 Pavojingos pajėgos: Kapitonas majonezas (S1E2) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2020
14:45 Pavojingasis Henris: Pavojingos Kalėdos (S2E9) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2015
15:10 Pavojingasis Henris: Meilės Keksiukas (S3E2) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2016
15:35 Vėžliukai nindzės: mutantų siautėjimas: Mutantų kovų arena (S2E1) (Tales of the Teenage Mutant Ninja Turtles). Animacinis, visai šeimai, komedija. JAV, 2025
15:55 Vėžliukai nindzės: mutantų siautėjimas: Mutantų turnyras (S2E2) (Tales of the Teenage Mutant Ninja Turtles). Animacinis, visai šeimai, komedija. JAV, 2025
16:20 Triukšmingi namai: Aš pasitraukiu/Draugų siautulys (S3E10) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2018
16:45 Triukšmingi namai: Kova prieš Kalėdas (S7E17) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2022
17:05 Triukšmingi namai: Pavojingiausias žaidėjas (S9E1) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2025
17:15 Wylde Pak: Vuri pasaulis / Ieškant Flamingųmėgėjo85 (S1E3). Animacinis, visai šeimai, komedija. JAV, 2025
17:40 Wylde Pak: Burbulinis noras / Būk sava pupa (S1E4). Animacinis, visai šeimai, komedija. JAV, 2025
18:00 Kempiniukas Plačiakelnis: Žaliūkai keliauja į mėnulį (S11E237) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
18:25 Kempiniukas Plačiakelnis: Apkabinimas V. Glamonius / Arklys Patas (S11E225) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2017
18:50 Kempiniukas Plačiakelnis: Plepys Garis / Nemaitinkite Klounų (S11E226) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
19:15 Kempiniukas Plačiakelnis: Važiuok laimingas / Senis Patrikas (S11E227) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
19:40 Kempiniukas Plačiakelnis: Miniatiūriniai draugai / Močiutė (S11E228) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
20:00 Griausmingieji: Po priedanga: Thundercover (S1E1) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
20:25 Griausmingieji: Po priedanga: Klaidingos galios (S1E2) (The Thundermans: Undercover). Veiksmo, fantastinis, visai šeimai. JAV, 2025
20:50 Pavojingasis Henris: Minkštakūnių dujos (S5E1) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2018
21:15 Pavojingasis Henris: Pavojingi dalykai (S5E2) (Henry Danger). Veiksmo, visai šeimai, komedija. JAV, 2018
21:40 Pavojingos pajėgos: Didysis Dinamitas (S3E3) (Danger Force). Visai šeimai, komedija, veiksmo. JAV, 2023
22:00 Aš Karlė: Įžanginė serija (S1E1) (ICarly). Melodrama, visai šeimai, komedija. JAV, 2007
22:25 Aš Karlė: Mėgstamas Džeikas (S1E2) (ICarly). Melodrama, visai šeimai, komedija. JAV, 2007
22:50 Nugalėtoja: Pilotinis epizodas (S1E1) (Victorious). Melodrama, visai šeimai, drama. JAV, 2010
23:15 Sem ir Ketė: Pirma serija (S1E1) (Sam & Cat). Visai šeimai, drama, komedija. JAV, 2013
23:40 Vėžliukai nindzės: mutantų siautėjimas: Leonardas lieka vienas (S1E1) (Tales of the Teenage Mutant Ninja Turtles).

2026-01-04 - Sekmadienis
