duo Star
-----
Rugpjūtis
-----
2026-08-10 - Pirmadienis
12:30 A komanda: The Beast from the Belly of a Boeing (S1 E13). Veiksmo, nuotykių, kriminalinis. JAV, 1983
13:15 Nužudyk mane tris kartus. Nuotykių, mistinis, veiksmo. JAV, 2014
14:45 Artemis: Žudikų viešbutis. Veiksmo, kriminalinis, drama. Anglija, 2018
16:15 A komanda: A Nice Place to Visit (S1 E14). Veiksmo, nuotykių, kriminalinis. JAV, 1983
17:00 Smagus pasivažinėjimas. Veiksmo, trileris, mistinis. JAV, 2001
18:35 Mano šuo Artūras. Nuotykių, drama. JAV, 2024
20:20 Aš esu legenda. Siaubo, drama, trileris. JAV, 2007
22:00 Spartakas. Arenos dievai: Past Transgressions (1 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
22:50 Ir vėl tu! Komedija, melodrama, visai šeimai. JAV, 2010

2026-08-28 - Penktadienis
02:20 Aš esu legenda. Siaubo, drama, trileris. JAV, 2007
04:00 Spartakas. Arenos dievai: Past Transgressions (1 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
04:50 Duo Mix
08:25 Aš esu legenda. Siaubo, drama, trileris. JAV, 2007
10:05 Ir vėl tu! Komedija, melodrama, visai šeimai. JAV, 2010
11:45 A komanda: A Nice Place to Visit (S1 E14). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:35 Mano šuo Artūras. Nuotykių, drama. JAV, 2024
14:20 Aš esu legenda. Siaubo, drama, trileris. JAV, 2007
16:00 A komanda: Diamonds 'n Dust (S2 E1). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:45 Ir vėl tu! Komedija, melodrama, visai šeimai. JAV, 2010
18:25 Zuikis Džodžo. Komedija, drama, karinis. JAV, 2019
20:15 Bitininkas. Veiksmo, trileris. JAV, 2024
22:00 Spartakas. Arenos dievai: Missio (2 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
22:50 Mergina traukiny. Kriminalinis, drama, mistinis. JAV, 2016

2026-08-29 - Šeštadienis
02:25 Spartakas. Arenos dievai: Missio (2 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
03:20 Duo Mix
07:20 Zuikis Džodžo. Komedija, drama, karinis. JAV, 2019
09:10 Bitininkas. Veiksmo, trileris. JAV, 2024
10:55 Mergina traukiny. Kriminalinis, drama, mistinis. JAV, 2016
12:45 Zuikis Džodžo. Komedija, drama, karinis. JAV, 2019
14:30 Bitininkas. Veiksmo, trileris. JAV, 2024
16:15 Mergina traukiny. Kriminalinis, drama, mistinis. JAV, 2016
18:05 Jums žinutė. Melodrama, drama, komedija. JAV, 1998
20:00 Nedžentelmeniško karo ministerija. Veiksmo, karinis, drama. JAV, 2024
22:00 Švytėjimas. Drama, siaubo, trileris. Anglija, 1980

2026-08-30 - Sekmadienis
01:55 Nedžentelmeniško karo ministerija. Veiksmo, karinis, drama. JAV, 2024
03:55 Duo Mix
06:35 Jums žinutė. Melodrama, drama, komedija. JAV, 1998
08:35 Nedžentelmeniško karo ministerija. Veiksmo, karinis, drama. JAV, 2024
10:35 Švytėjimas. Drama, siaubo, trileris. Anglija, 1980
12:35 Jums žinutė. Melodrama, drama, komedija. JAV, 1998
14:30 Nedžentelmeniško karo ministerija. Veiksmo, karinis, drama. JAV, 2024
16:30 Švytėjimas. Drama, siaubo, trileris. Anglija, 1980
18:30 Išeities kodas. Veiksmo, drama, mistinis. JAV, 2011
20:00 Lenktynės. Drama, biografinis, veiksmo. Anglija, 2013
22:00 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
23:30 Išeities kodas. Veiksmo, drama, mistinis. JAV, 2011

2026-08-31 - Pirmadienis
01:00 Lenktynės. Drama, biografinis, veiksmo. Anglija, 2013
02:55 Duo Mix
08:10 Lenktynės. Drama, biografinis, veiksmo. Anglija, 2013
10:15 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
11:45 A komanda: Diamonds 'n Dust (S2 E1). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:30 Išeities kodas. Veiksmo, drama, mistinis. JAV, 2011
14:00 Lenktynės. Drama, biografinis, veiksmo. Anglija, 2013
16:00 A komanda: Recipe for Heavy Bread (S2 E2). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:45 Kodas "7500". Veiksmo, drama, trileris. Vokietija, 2019
18:15 Avarinis nusileidimas. Veiksmo, trileris, nuotykių. JAV, 2023
20:00 Sunkūs laikai viešbutyje "El Royale". Kriminalinis, drama, mistinis. JAV, 2018
22:15 Spartakas. Arenos dievai: Paterfamilias (3 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
23:10 Linkolnas. Drama, istorinis, biografinis. JAV, 2012

-----
Rugsėjis
-----
2026-09-01 - Antradienis
01:35 Avarinis nusileidimas. Veiksmo, trileris, nuotykių. JAV, 2023
03:15 Sunkūs laikai viešbutyje "El Royale". Kriminalinis, drama, mistinis. JAV, 2018
05:30 Duo Mix
06:30 Spartakas. Arenos dievai: Paterfamilias (3 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
10:10 Avarinis nusileidimas. Veiksmo, trileris, nuotykių. JAV, 2023
11:55 A komanda: Recipe for Heavy Bread (S2 E2). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:45 Sunkūs laikai viešbutyje "El Royale". Kriminalinis, drama, mistinis. JAV, 2018
15:00 Linkolnas. Drama, istorinis, biografinis. JAV, 2012
17:25 A komanda: The Only Church in Town (S2 E3). Veiksmo, nuotykių, kriminalinis. JAV, 1983
18:15 Bitininkas. Veiksmo, trileris. JAV, 2024
20:00 Loftas. Trileris, mistinis, melodrama. Belgija, 2014
21:40 Spartakas. Arenos dievai: Beneath the Mask (4 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
22:30 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012

2026-09-02 - Trečiadienis
01:50 Lėta televizija: Žygis dviračiu. Estija, 2020
03:40 Ką rodo "Filmzone"?
04:05 Duo Mix
10:10 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
11:45 Bitininkas. Veiksmo, trileris. JAV, 2024
13:30 A komanda: The Only Church in Town (S2 E3). Veiksmo, nuotykių, kriminalinis. JAV, 1983
14:15 Loftas. Trileris, mistinis, melodrama. Belgija, 2014
15:55 Ugnimi prieš ugnį. Veiksmo, kriminalinis, drama. JAV, 2012
17:30 A komanda: Bad Time on the Border (S2 E4). Veiksmo, nuotykių, kriminalinis. JAV, 1983
18:20 Švarus sunaikinimas. Trileris, drama, karinis. JAV, 2014
20:00 1917. Veiksmo, drama, karinis. Anglija, 2019
21:55 Spartakas. Arenos dievai: Reckoning (5 epizodas). Veiksmo, drama, nuotykių. JAV, 2011
22:50 Bastūnas, siuvėjas, kareivis, šnipas. Trileris, drama, mistinis. Anglija, 2011

2026-09-03 - Ketvirtadienis
02:30 Lėta televizija: Pavasaris. Estija, 2020
03:35 Ką rodo "Filmzone"?
04:05 Duo Mix
08:40 Bastūnas, siuvėjas, kareivis, šnipas. Trileris, drama, mistinis. Anglija, 2011
